t,x0,y0,vx0,vy0,x1,y1,vx1,vy1,x2,y2,vx2,vy2,x3,y3,vx3,vy3,x4,y4,vx4,vy4,x5,y5,vx5,vy5,x6,y6,vx6,vy6,x7,y7,vx7,vy7,x8,y8,vx8,vy8,x9,y9,vx9,vy9
0.37,5.15669,3.75384,0.423546,-0.665155,10.122,3.42195,0.32971,-1.56217,15.1242,3.92304,0.335611,-0.207763,4.70996,8.48896,-0.783832,1.32175,9.92884,8.40379,-0.192196,1.09178,14.5393,8.06591,-1.24523,0.178425,4.74916,12.2853,-0.677881,0.770964,10.6477,11.7994,1.75056,-0.542738,14.6507,11.6001,-0.944199,-1.08121,5.2828,16.3488,0.764316,0.942582
0.38,5.16093,3.74719,0.423549,-0.665151,10.1253,3.40633,0.32971,-1.56216,15.1276,3.92097,0.335607,-0.207753,4.70212,8.50218,-0.783829,1.32176,9.92692,8.41471,-0.192184,1.09181,14.5268,8.0677,-1.24523,0.178451,4.74239,12.293,-0.677878,0.770955,10.6652,11.794,1.75057,-0.54278,14.6413,11.5893,-0.944216,-1.08124,5.29045,16.3583,0.764315,0.942569
0.39,5.16516,3.74054,0.423552,-0.665147,10.1286,3.39071,0.329709,-1.56216,15.1309,3.91889,0.335602,-0.207742,4.69428,8.5154,-0.783825,1.32178,9.925,8.42563,-0.192172,1.09185,14.5144,8.06948,-1.24524,0.178478,4.73561,12.3007,-0.677875,0.770945,10.6827,11.7885,1.75057,-0.542822,14.6318,11.5785,-0.944234,-1.08128,5.29809,16.3677,0.764313,0.942557
0.4,5.1694,3.73389,0.423555,-0.665142,10.1319,3.37509,0.329709,-1.56215,15.1343,3.91681,0.335597,-0.207732,4.68644,8.52862,-0.783822,1.3218,9.92308,8.43655,-0.192158,1.09189,14.5019,8.07127,-1.24524,0.178506,4.72883,12.3084,-0.677872,0.770935,10.7002,11.7831,1.75058,-0.542865,14.6224,11.5677,-0.944253,-1.08131,5.30573,16.3771,0.764312,0.942544
0.41,5.17363,3.72724,0.423558,-0.665138,10.1352,3.35947,0.329709,-1.56215,15.1376,3.91473,0.335592,-0.207721,4.6786,8.54183,-0.783819,1.32182,9.92116,8.44747,-0.192144,1.09193,14.4895,8.07305,-1.24525,0.178535,4.72205,12.3161,-0.67787,0.770925,10.7177,11.7777,1.75059,-0.542909,14.6129,11.5569,-0.944272,-1.08135,5.31338,16.3866,0.764311,0.942532
0.42,5.17787,3.72059,0.423561,-0.665135,10.1385,3.34385,0.329709,-1.56214,15.141,3.91266,0.335587,-0.207711,4.67077,8.55505,-0.783815,1.32184,9.91923,8.45839,-0.19213,1.09197,14.477,8.07484,-1.24525,0.178565,4.71527,12.3238,-0.677867,0.770914,10.7352,11.7723,1.7506,-0.542955,14.6035,11.5461,-0.944293,-1.08139,5.32102,16.396,0.764309,0.94252
0.43,5.1821,3.71394,0.423564,-0.665131,10.1418,3.32823,0.329709,-1.56214,15.1443,3.91058,0.335583,-0.207701,4.66293,8.56827,-0.783812,1.32185,9.91731,8.46931,-0.192114,1.09201,14.4646,8.07662,-1.24526,0.178597,4.70849,12.3316,-0.677864,0.770903,10.7527,11.7668,1.7506,-0.543001,14.5941,11.5353,-0.944314,-1.08143,5.32866,16.4054,0.764307,0.942508
0.44,5.18634,3.70728,0.423568,-0.665127,10.1451,3.3126,0.329709,-1.56214,15.1477,3.9085,0.335578,-0.207691,4.65509,8.58149,-0.783809,1.32187,9.91539,8.48023,-0.192098,1.09205,14.4521,8.07841,-1.24526,0.178629,4.70171,12.3393,-0.677861,0.770892,10.7702,11.7614,1.75061,-0.543048,14.5846,11.5244,-0.944336,-1.08147,5.3363,16.4148,0.764306,0.942495
0.45,5.19058,3.70063,0.423571,-0.665123,10.1484,3.29698,0.329709,-1.56213,15.1511,3.90643,0.335573,-0.207681,4.64725,8.59471,-0.783805,1.32189,9.91347,8.49115,-0.192082,1.0921,14.4397,8.0802,-1.24527,0.178663,4.69493,12.347,-0.677859,0.77088,10.7877,11.756,1.75062,-0.543097,14.5752,11.5136,-0.94436,-1.08151,5.34395,16.4243,0.764304,0.942484
0.46,5.19481,3.69398,0.423574,-0.66512,10.1517,3.28136,0.329709,-1.56213,15.1544,3.90435,0.335568,-0.207672,4.63941,8.60793,-0.783802,1.32191,9.91155,8.50207,-0.192064,1.09214,14.4272,8.08198,-1.24527,0.178698,4.68816,12.3547,-0.677856,0.770868,10.8052,11.7505,1.75063,-0.543146,14.5657,11.5028,-0.944385,-1.08155,5.35159,16.4337,0.764303,0.942472
