# t x1 v1 x2 v2
3.26000000 -1.36602258 0.75335232 -1.59556123 0.27041929
3.27000000 -1.35845911 0.75934297 -1.59279272 0.28325349
3.28000000 -1.35083570 0.76533986 -1.58989674 0.29591283
3.29000000 -1.34315229 0.77134551 -1.58687503 0.30840179
3.30000000 -1.33540876 0.77736237 -1.58372926 0.32072493
3.31000000 -1.32760499 0.78339287 -1.58046107 0.33288677
3.32000000 -1.31974085 0.78943941 -1.57707204 0.34489190
3.33000000 -1.31181614 0.79550436 -1.57356374 0.35674489
3.34000000 -1.30383069 0.80159006 -1.56993764 0.36845033
3.35000000 -1.29578426 0.80769882 -1.56619521 0.38001283
3.36000000 -1.28767663 0.81383293 -1.56233784 0.39143695
3.37000000 -1.27950751 0.81999464 -1.55836691 0.40272729
3.38000000 -1.27127664 0.82618621 -1.55428373 0.41388843
3.39000000 -1.26298368 0.83240984 -1.55008956 0.42492491
3.40000000 -1.25462832 0.83866775 -1.54578563 0.43584129
3.41000000 -1.24621021 0.84496211 -1.54137312 0.44664208
3.42000000 -1.23772895 0.85129509 -1.53685316 0.45733179
3.43000000 -1.22918417 0.85766884 -1.53222684 0.46791491
3.44000000 -1.22057543 0.86408550 -1.52749520 0.47839588
3.45000000 -1.21190231 0.87054720 -1.52265925 0.48877914
3.46000000 -1.20316433 0.87705605 -1.51771993 0.49906908
3.47000000 -1.19436102 0.88361415 -1.51267816 0.50927007
3.48000000 -1.18549188 0.89022359 -1.50753481 0.51938647
3.49000000 -1.17655637 0.89688648 -1.50229070 0.52942257
3.50000000 -1.16755396 0.90360487 -1.49694661 0.53938266
3.51000000 -1.15848408 0.91038085 -1.49150329 0.54927099
3.52000000 -1.14934615 0.91721649 -1.48596142 0.55909177
3.53000000 -1.14013955 0.92411384 -1.48032166 0.56884919
3.54000000 -1.13086366 0.93107498 -1.47458463 0.57854741
3.55000000 -1.12151783 0.93810194 -1.46875090 0.58819055
