t	x	v	state	E_total
32.4	7.3045	0.133256	0	0.00887856
32.5	7.32747	-0.0504703	0	0.00127363
32.6	7.3153	-0.13603	0	0.00925207
32.7	7.27935	-0.225656	0	0.0254602
32.8	7.27105	0.0687472	0	0.00236309
32.9	7.27773	0.114049	0	0.00650357
33	7.31231	0.579856	0	0.168116
33.1	7.35368	0.358417	0	0.0642315
33.2	7.39546	0.554246	0	0.153595
33.3	7.42423	0.170216	0	0.0144868
33.4	7.46884	0.483065	0	0.116676
33.5	7.50587	0.332998	0	0.0554437
33.6	7.52874	0.143218	0	0.0102556
33.7	7.56335	0.33464	0	0.055992
33.8	7.56842	-0.195886	0	0.0191856
33.9	7.56433	-0.151272	0	0.0114416
34	7.55804	-0.197111	0	0.0194264
34.1	7.55057	-0.314291	0	0.0493896
34.2	7.51276	-0.410733	0	0.0843507
34.3	7.48823	0.0510277	0	0.00130191
34.4	7.50892	-0.0609251	0	0.00185593
34.5	7.50405	0.056166	0	0.00157731
34.6	7.50207	0.0232404	0	0.000270059
34.7	7.47431	-0.673525	0	0.226818
34.8	7.39017	-1.05172	0	0.553054
34.9	7.27996	-1.14811	0	0.659074
35	7.19526	-0.733256	0	0.268832
35.1	7.11265	-0.944675	0	0.446206
35.2	7.02281	-0.689096	0	0.237427
35.3	6.95236	-0.886164	0	0.392643
35.4	6.87045	-0.81944	0	0.335741
35.5	6.80864	-0.250879	0	0.0314703
35.6	6.8107	0.389289	0	0.075773
35.7	6.83818	0.113852	0	0.00648112
35.8	6.82112	-0.170525	0	0.0145395
35.9	6.80783	0.177866	0	0.0158182
36	6.82648	0.265574	0	0.0352648
36.1	6.8709	0.750291	0	0.281468
36.2	6.96844	0.814007	0	0.331304
36.3	7.02729	0.68041	0	0.231479
36.4	7.08558	0.419936	0	0.0881731
36.5	7.10784	-0.105256	0	0.00553943
36.6	7.07756	-0.344918	0	0.0594841
36.7	7.04551	-0.175206	0	0.0153487
36.8	7.06599	0.359629	0	0.0646666
36.9	7.10688	0.587426	0	0.172535
37	7.15217	0.061065	0	0.00186447
37.1	7.0434	-2.05859	1	3.20397
37.2	6.85814	-1.57422	1	2.12573
37.3	6.73108	-0.811345	1	2.00987
37.4	6.67041	-0.515531	1	2.1928
37.5	6.6381	0.0167584	1	2.26202
37.6	6.69215	1.12724	1	2.55939
37.7	6.80885	1.25824	1	1.98625
37.8	6.94849	1.47999	1	1.41714
37.9	7.0442	-0.536087	1	1.24881
38	6.91968	-1.31116	1	1.36155
