# t K1 K2 U1 U2 Uc E_tot
0.19500000 0.78296902 0.24525260 -1.20356815 0.28975203 0.72073214 0.83513764
0.19600000 0.78109709 0.24606713 -1.20526328 0.28674683 0.72598200 0.83462977
0.19700000 0.77810467 0.24785001 -1.20681310 0.28375195 0.73124786 0.83414139
0.19800000 0.77574948 0.24955091 -1.20821996 0.28076071 0.73653657 0.83437771
0.19900000 0.77280860 0.25024959 -1.20948502 0.27778129 0.74184334 0.83319780
0.20000000 0.76938347 0.25029563 -1.21060846 0.27481788 0.74716265 0.83105118
0.20100000 0.76603381 0.25024576 -1.21159189 0.27187422 0.75249272 0.82905461
0.20200000 0.76211654 0.25051462 -1.21243658 0.26894780 0.75783474 0.82697712
0.20300000 0.75761160 0.25145856 -1.21314354 0.26603748 0.76318726 0.82515136
0.20400000 0.75385617 0.25277509 -1.21371439 0.26313677 0.76855416 0.82460780
0.20500000 0.75040798 0.25338041 -1.21415130 0.26024816 0.77393766 0.82382291
0.20600000 0.74659161 0.25351698 -1.21445544 0.25737759 0.77933121 0.82236196
0.20700000 0.74282055 0.25420248 -1.21462844 0.25452461 0.78473586 0.82165506
0.20800000 0.73844270 0.25572010 -1.21467185 0.25168365 0.79015488 0.82132947
0.20900000 0.73404020 0.25701493 -1.21458741 0.24885126 0.79558856 0.82090754
0.21000000 0.72964506 0.25774398 -1.21437683 0.24603372 0.80103456 0.82008050
0.21100000 0.72532307 0.25833584 -1.21404200 0.24323129 0.80649059 0.81933880
0.21200000 0.72106911 0.25917602 -1.21358447 0.24044539 0.81195799 0.81906404
0.21300000 0.71589191 0.26022872 -1.21300626 0.23767212 0.81743749 0.81822398
0.21400000 0.71127523 0.26120999 -1.21230977 0.23491334 0.82292541 0.81801419
0.21500000 0.70731810 0.26207334 -1.21149586 0.23216823 0.82842730 0.81849111
0.21600000 0.70164829 0.26278496 -1.21056664 0.22943907 0.83393963 0.81724530
0.21700000 0.69608261 0.26346693 -1.20952604 0.22672537 0.83945617 0.81620505
0.21800000 0.69197391 0.26351673 -1.20837402 0.22402810 0.84498311 0.81612782
0.21900000 0.68712480 0.26313900 -1.20711231 0.22135286 0.85051606 0.81502041
0.22000000 0.68063423 0.26313636 -1.20574425 0.21869838 0.85605202 0.81277673
0.22100000 0.67415652 0.26294575 -1.20427395 0.21606208 0.86158843 0.81047883
0.22200000 0.66865696 0.26232229 -1.20270183 0.21344838 0.86712592 0.80885172
0.22300000 0.66205520 0.26172877 -1.20102978 0.21085711 0.87266484 0.80627615
0.22400000 0.65495238 0.26176447 -1.19926317 0.20828797 0.87819898 0.80394062
0.22500000 0.64922846 0.26254170 -1.19740266 0.20573499 0.88373660 0.80383909
0.22600000 0.64331126 0.26275581 -1.19544842 0.20319695 0.88928218 0.80309780
0.22700000 0.63680278 0.26255459 -1.19340529 0.20068057 0.89482521 0.80145786
0.22800000 0.63110053 0.26234721 -1.19127469 0.19818312 0.90036923 0.80072540
0.22900000 0.62528281 0.26246268 -1.18905701 0.19570728 0.90591444 0.80031020
0.23000000 0.61974060 0.26296932 -1.18675662 0.19324727 0.91146229 0.80066286
0.23100000 0.61408434 0.26303673 -1.18437224 0.19080518 0.91701565 0.80056967
0.23200000 0.60701799 0.26327840 -1.18190989 0.18838304 0.92256696 0.79933649
0.23300000 0.59983146 0.26380181 -1.17937360 0.18597718 0.92811707 0.79835392
0.23400000 0.59323022 0.26379740 -1.17676464 0.18358868 0.93366625 0.79751791
0.23500000 0.58645001 0.26326292 -1.17408396 0.18122125 0.93921252 0.79606274
0.23600000 0.58010181 0.26281257 -1.17133608 0.17887582 0.94475182 0.79520594
0.23700000 0.57389327 0.26254470 -1.16851890 0.17655053 0.95029080 0.79476041
0.23800000 0.56732024 0.26295656 -1.16563832 0.17424546 0.95582461 0.79470854
0.23900000 0.56099513 0.26313855 -1.16269456 0.17195448 0.96136127 0.79475487
0.24000000 0.55494986 0.26224551 -1.15969057 0.16968563 0.96689171 0.79408213
0.24100000 0.54932499 0.26137940 -1.15662611 0.16744004 0.97241691 0.79393523
0.24200000 0.54245149 0.26211483 -1.15350320 0.16521609 0.97793804 0.79421724
0.24300000 0.53538067 0.26303914 -1.15033115 0.16300164 0.98345978 0.79455008
0.24400000 0.52872126 0.26293111 -1.14710619 0.16080720 0.98897732 0.79433070
0.24500000 0.52194445 0.26250949 -1.14383417 0.15863094 0.99448844 0.79373914
0.24600000 0.51573883 0.26208881 -1.14051424 0.15647709 0.99999128 0.79378177
0.24700000 0.50986466 0.26185357 -1.13714789 0.15434124 1.00549065 0.79440222
0.24800000 0.50294274 0.26144582 -1.13373544 0.15222605 1.01098486 0.79386402
0.24900000 0.49476125 0.26050860 -1.13028773 0.15013007 1.01646687 0.79157906
0.25000000 0.48643479 0.25939869 -1.12680705 0.14805871 1.02193028 0.78901542
0.25100000 0.47859296 0.25893882 -1.12329707 0.14600765 1.02737810 0.78762046
0.25200000 0.47129114 0.25842517 -1.11975537 0.14397574 1.03281530 0.78675199
0.25300000 0.46373485 0.25767401 -1.11618496 0.14196428 1.03823913 0.78542731
0.25400000 0.45676641 0.25724758 -1.11258916 0.13997356 1.04364771 0.78504609
0.25500000 0.45059052 0.25745119 -1.10896437 0.13800051 1.04904898 0.78612683
0.25600000 0.44447133 0.25772421 -1.10531190 0.13604315 1.05444534 0.78737213
0.25700000 0.43887996 0.25712338 -1.10163369 0.13410281 1.05983480 0.78830727
0.25800000 0.43297357 0.25621634 -1.09792698 0.13218455 1.06521450 0.78866199
0.25900000 0.42680338 0.25547773 -1.09420071 0.13028533 1.07058169 0.78894742
0.26000000 0.42010448 0.25497581 -1.09045170 0.12840658 1.07593814 0.78897332
0.26100000 0.41284252 0.25456951 -1.08669158 0.12654484 1.08127975 0.78854505
0.26200000 0.40559459 0.25370978 -1.08291759 0.12470258 1.08660665 0.78769600
0.26300000 0.39829851 0.25289995 -1.07913648 0.12288033 1.09191373 0.78685603
0.26400000 0.39131374 0.25227262 -1.07534593 0.12107686 1.09720528 0.78652256
0.26500000 0.38343930 0.25119631 -1.07154925 0.11929176 1.10248009 0.78485820
0.26600000 0.37591273 0.25023228 -1.06775584 0.11752828 1.10772749 0.78364494
0.26700000 0.36922954 0.24980022 -1.06395691 0.11578204 1.11296079 0.78381568
0.26800000 0.36218593 0.24907026 -1.06015662 0.11405333 1.11817718 0.78333008
0.26900000 0.35468034 0.24786025 -1.05635820 0.11234362 1.12337294 0.78189894
0.27000000 0.34660534 0.24652250 -1.05256715 0.11065438 1.12854255 0.77975762
0.27100000 0.33914649 0.24569451 -1.04878816 0.10898460 1.13368456 0.77872200
0.27200000 0.33251532 0.24536255 -1.04501384 0.10733144 1.13880905 0.77900453
0.27300000 0.32599311 0.24454138 -1.04124609 0.10569407 1.14391643 0.77889890
0.27400000 0.31963284 0.24319495 -1.03748518 0.10407625 1.14900154 0.77842039
0.27500000 0.31286644 0.24144545 -1.03373233 0.10247734 1.15406481 0.77712172
0.27600000 0.30537984 0.24021338 -1.02999449 0.10090018 1.15909735 0.77559627
0.27700000 0.29899971 0.23946275 -1.02627698 0.09933811 1.16410571 0.77562930
0.27800000 0.29342641 0.23807340 -1.02256446 0.09779422 1.16909653 0.77582610
0.27900000 0.28667903 0.23630035 -1.01886538 0.09626917 1.17406302 0.77444620
0.28000000 0.27955328 0.23436728 -1.01518924 0.09476431 1.17899661 0.77249223
0.28100000 0.27336614 0.23276279 -1.01153489 0.09327883 1.18389950 0.77177238
0.28200000 0.26784150 0.23169440 -1.00789454 0.09181096 1.18878012 0.77223243
