# t x1 v1 x2 v2
3.69 -0.980512 1.0468 -1.37949 0.717858
3.7 -0.970003 1.05507 -1.37227 0.727159
3.71 -0.95941 1.06344 -1.36495 0.736467
3.72 -0.948734 1.07191 -1.35754 0.745786
3.73 -0.937972 1.08049 -1.35004 0.755118
3.74 -0.927123 1.08917 -1.34244 0.764469
3.75 -0.916188 1.09795 -1.33475 0.773841
3.76 -0.905164 1.10685 -1.32696 0.783238
3.77 -0.894051 1.11586 -1.31908 0.792665
3.78 -0.882847 1.12498 -1.31111 0.802124
3.79 -0.871551 1.13421 -1.30304 0.81162
3.8 -0.860162 1.14356 -1.29487 0.821156
3.81 -0.848679 1.15303 -1.28661 0.830736
3.82 -0.837101 1.16262 -1.27826 0.840364
3.83 -0.825426 1.17234 -1.26981 0.850043
3.84 -0.813654 1.18218 -1.26126 0.859778
3.85 -0.801782 1.19214 -1.25261 0.869571
3.86 -0.789811 1.20224 -1.24387 0.879427
3.87 -0.777737 1.21246 -1.23502 0.88935
3.88 -0.765561 1.22282 -1.22608 0.899342
3.89 -0.753281 1.23331 -1.21704 0.909409
3.9 -0.740894 1.24393 -1.20789 0.919554
3.91 -0.728401 1.25469 -1.19864 0.929781
3.92 -0.7158 1.26559 -1.1893 0.940093
3.93 -0.703089 1.27663 -1.17984 0.950494
3.94 -0.690267 1.28782 -1.17028 0.96099
3.95 -0.677332 1.29914 -1.16062 0.971582
3.96 -0.664284 1.31061 -1.15085 0.982276
3.97 -0.65112 1.32222 -1.14098 0.993076
3.98 -0.637839 1.33398 -1.13099 1.00398
3.99 -0.62444 1.34589 -1.1209 1.01501
4 -0.610921 1.35794 -1.11069 1.02615
4.01 -0.59728 1.37015 -1.10037 1.03741
4.02 -0.583517 1.3825 -1.08994 1.0488
4.03 -0.56963 1.39501 -1.0794 1.06031
4.04 -0.555617 1.40766 -1.06873 1.07197
4.05 -0.541476 1.42047 -1.05796 1.08376
4.06 -0.527207 1.43342 -1.04706 1.09569
4.07 -0.512807 1.44653 -1.03604 1.10777
4.08 -0.498276 1.45979 -1.0249 1.12
4.09 -0.483611 1.47319 -1.01364 1.13239
4.1 -0.468811 1.48675 -1.00226 1.14494
4.11 -0.453875 1.50045 -0.990742 1.15765
4.12 -0.438802 1.5143 -0.979102 1.17053
4.13 -0.423589 1.5283 -0.967331 1.18359
4.14 -0.408236 1.54243 -0.955429 1.19682
4.15 -0.39274 1.55671 -0.943394 1.21024
4.16 -0.377101 1.57113 -0.931224 1.22384
4.17 -0.361317 1.58568 -0.918917 1.23764
4.18 -0.345387 1.60037 -0.90647 1.25163
4.19 -0.329309 1.61519 -0.893883 1.26583
4.2 -0.313083 1.63013 -0.881153 1.28023
4.21 -0.296706 1.64519 -0.868278 1.29484
4.22 -0.280178 1.66037 -0.855256 1.30966
4.23 -0.263498 1.67566 -0.842084 1.32471
4.24 -0.246665 1.69105 -0.828761 1.33998
4.25 -0.229677 1.70655 -0.815284 1.35548
4.26 -0.212534 1.72214 -0.80165 1.37122
4.27 -0.195234 1.73781 -0.787858 1.38719
4.28 -0.177777 1.75356 -0.773905 1.40341
4.29 -0.160163 1.76938 -0.759789 1.41987
4.3 -0.142389 1.78526 -0.745507 1.43659
4.31 -0.124457 1.80119 -0.731057 1.45356
4.32 -0.106365 1.81717 -0.716435 1.4708
4.33 -0.0881138 1.83317 -0.70164 1.48829
4.34 -0.0697021 1.84919 -0.686668 1.50606
4.35 -0.0511301 1.86521 -0.671518 1.5241
4.36 -0.0323979 1.88122 -0.656185 1.54241
4.37 -0.0135057 1.89722 -0.640668 1.56101
